,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Kapaa,US,69.96,22.08,-159.32,69,40,12.75
1,Ribeira Grande,PT,57.2,38.52,-28.7,76,40,17.22
2,Nokaneng,BW,69.53,-19.66,22.19,37,0,14.14
3,Albany,US,34.21,42.65,-73.75,44,20,16.11
4,Tabou,CI,81.41,4.42,-7.36,100,12,9.44
5,Ushuaia,AR,39.2,-54.81,-68.31,80,90,8.05
6,Arraial do Cabo,BR,73.94,-22.97,-42.02,100,0,12.01
7,Jumla,NP,44.96,29.28,82.18,71,0,1.72
8,Maceio,BR,75.2,-9.67,-35.74,88,20,3.36
9,Aquiraz,BR,75.83,-3.9,-38.39,88,75,5.82
10,Hermanus,ZA,61.65,-34.42,19.24,93,56,4.18
11,Robertsport,LR,79.79,6.75,-11.37,100,20,7.87
12,Saint-Francois,FR,34.52,46.42,3.91,100,0,2.24
13,Dunedin,NZ,50,-45.87,170.5,91,92,11.99
14,Katsuura,JP,60.49,33.93,134.5,51,20,13.87
15,Tuatapere,NZ,52,-46.13,167.69,69,80,8.99
16,Utrecht,NL,37.9,52.09,5.11,93,0,4.7
17,Souillac,FR,34.32,45.6,-0.6,67,75,3.36
18,Muhos,FI,36.46,64.81,26,94,92,9.17
19,Fortuna,ES,52.34,38.18,-1.13,87,0,4.7
20,Dikson,RU,22.91,73.51,80.55,100,88,18.05
21,Rikitea,PF,76.1,-23.12,-134.97,100,0,18.28
22,Kavaratti,IN,85.1,10.57,72.64,100,0,3.51
23,Redmond,US,47.64,47.67,-122.12,66,20,10.29
24,Cockburn Town,TC,78.26,21.46,-71.14,99,0,18.39
25,Atuona,PF,81.32,-9.8,-139.03,100,68,14.03
26,Neuquen,AR,57.2,-38.95,-68.06,76,75,10.29
27,Panzhihua,CN,66,26.59,101.72,52,0,3.18
28,Charagua,BO,67.19,-19.79,-63.2,93,0,7.65
29,New Norfolk,AU,61.11,-42.78,147.06,42,0,12.75
30,Piltene,LV,41,57.23,21.67,52,0,8.05
31,Talnakh,RU,20.84,69.49,88.39,95,88,8.88
32,Rosarito,CO,64.4,4.91,-75.23,100,75,2.24
33,Saint Anthony,US,42.53,43.97,-111.68,75,1,12.75
34,Qaanaaq,GL,14.09,77.48,-69.36,81,80,11.23
35,Luganville,VU,82.58,-15.51,167.18,100,76,7.76
36,Saskylakh,RU,29.93,71.97,114.09,94,44,10.22
37,Butaritari,KI,77.09,3.07,172.79,100,92,3.18
38,Avarua,CK,75.2,-21.21,-159.78,88,80,2.24
39,Dubbo,AU,78.8,-32.25,148.6,34,40,8.05
40,Akhisar,TR,44.6,38.92,27.84,87,36,3.36
41,Mar del Plata,AR,55.4,-46.43,-67.52,57,0,10.89
42,Lebu,ET,61.61,8.96,38.73,75,48,3.74
43,Saint-Pierre,FR,36.73,48.95,4.24,93,0,9.17
44,Puerto Ayora,EC,78.26,-0.74,-90.35,100,36,5.53
45,Saint-Philippe,CA,30.78,45.36,-73.48,82,90,24.16
46,College,US,18.19,64.86,-147.8,41,1,18.34
47,Cape Town,ZA,62.22,-33.93,18.42,82,75,16.11
48,Issoire,FR,35.6,45.54,3.25,80,75,2.24
49,Punta Arenas,CL,42.33,-53.16,-70.91,75,20,41.38
50,Alugan,PH,81.77,12.22,125.48,86,48,8.99
51,Tuktoyaktuk,CA,-4.01,69.44,-133.03,83,75,9.17
52,Chilca,PE,46.69,-13.22,-72.34,87,75,1.12
53,Kahului,US,69.53,20.89,-156.47,69,40,17.22
54,Russkoye,RU,42.8,43.83,44.56,70,75,15.66
55,Srandakan,ID,81.14,-7.94,110.25,83,92,4.52
56,Luderitz,NA,54.77,-26.65,15.16,92,20,12.8
57,Busselton,AU,68.67,-33.64,115.35,33,32,25.88
58,Harper,US,64.6,30.3,-99.24,93,90,8.05
59,Klaksvik,FO,39.2,62.23,-6.59,99,92,4.7
60,Thinadhoo,MV,83.39,0.53,72.93,100,0,4.97
61,Acapulco,MX,78.8,16.86,-99.88,74,5,6.93
62,Jamestown,AU,80.15,-33.21,138.6,35,0,8.66
63,Vaini,IN,89.56,15.34,74.49,31,0,2.24
64,East London,ZA,75.2,-33.02,27.91,64,0,6.64
65,Mataura,NZ,52,-46.19,168.86,69,88,8.99
66,Avera,US,51.85,33.19,-82.53,87,1,5.53
67,Cidreira,BR,68.9,-30.17,-50.22,95,0,2.73
68,Nyrob,RU,32.54,60.74,56.73,85,0,5.41
69,Castro,CL,46.4,-42.48,-73.76,70,75,10.29
70,Yarada,IN,93.2,17.65,83.27,52,20,11.41
71,Tasiilaq,GL,24.8,65.61,-37.64,85,0,16.11
72,Jilin,CN,52.52,43.84,126.54,50,92,11.56
73,Kuching,MY,87.8,1.56,110.34,66,75,6.93
74,Northam,GB,38.89,51.04,-4.21,93,40,9.17
75,Hun,BE,36.45,50.34,4.87,93,75,4.7
76,Nouadhibou,MR,64.4,20.93,-17.03,77,92,5.82
77,Hithadhoo,MV,81.14,-0.6,73.08,100,56,4.97
78,Kieta,PG,80.06,-6.22,155.63,100,88,4.18
79,Port Alfred,ZA,72,-33.59,26.89,56,12,5.01
80,Broome,GB,35.49,52.47,1.45,100,20,4.7
81,Castrillon,ES,39.24,43.4,-6.79,80,40,10.29
82,Guerrero Negro,MX,55.04,27.97,-114.04,100,36,7.76
83,Mbeya,TZ,64.94,-8.91,33.47,89,48,3.62
84,Kajaani,FI,39.2,64.22,27.73,51,90,11.41
85,Hay River,CA,3.2,60.82,-115.79,77,75,2.24
86,Naco,MX,50.05,31.32,-109.94,29,1,3.36
87,Barrow,AR,62.51,-38.31,-60.23,59,80,13.24
88,Marzuq,YE,73.94,14.4,46.47,52,56,3.62
89,Hobart,AU,61.09,-42.88,147.33,42,0,12.75
90,Faya,SA,70.72,18.39,42.45,60,0,17.22
91,Comodoro Rivadavia,AR,48.2,-45.87,-67.48,66,0,8.05
92,Fairbanks,US,18.12,64.84,-147.72,41,1,18.34
93,Hilo,US,69.58,19.71,-155.08,78,20,9.17
94,Kodiak,US,50.16,39.95,-94.76,34,75,17.22
95,Victoria,BN,89.6,5.28,115.24,62,75,5.82
96,Hare Bay,CA,38.52,48.86,-53.99,100,90,31.09
97,Grand Gaube,MU,84.52,-20.01,57.66,70,40,6.93
98,Sitka,US,50,37.17,-99.65,85,20,1.01
99,Mount Isa,AU,91.4,-20.73,139.49,31,40,5.82
100,Hami,CN,74.21,42.84,93.51,37,0,4.63
101,Labuhan,ID,84.92,-2.54,115.51,76,44,3.06
102,Benevides,BR,75.2,-1.36,-48.25,94,75,6.93
103,Deputatskiy,RU,27.32,69.3,139.9,84,0,4.74
104,Chuy,UY,64.94,-33.69,-53.46,96,88,4.97
105,Caravelas,BR,81.23,-17.73,-39.27,99,36,9.55
106,Cayenne,GF,77,4.94,-52.33,83,75,4.7
107,Ajdabiya,LY,53.15,30.75,20.22,54,36,11.23
108,Geraldton,CA,5,49.72,-86.95,71,5,5.41
109,Thompson,CA,8.6,55.74,-97.86,65,40,2.24
110,Namikupa,MZ,78.44,-10.84,39.63,84,0,5.64
111,Rocha,UY,57.92,-34.48,-54.34,94,0,6.76
112,Georgetown,GY,75.2,6.8,-58.16,94,20,4.7
113,Tottori,JP,61,35.5,134.23,58,20,16.11
